dob,name,wage,weekwage,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
2/27/92,Alex Iwobi," £30,000.00 ", £30.00 ,180cm,66kg,5,28,0.35,11,0,10.25,20,0,0,1,0,6,7,2,3,9,9,1,2,10,1,,,,,,,,,,,,1,0,2,29,41%,,,,,,,,,,,,,
3/1/94,Alex McCarthy," £40,000.00 ", £40.00 ,180cm,65kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
1/23/87,Alex Oxlade-Chamberlain," £65,000.00 ", £65.00 ,183cm,73kg,28,35,0.09,26,0,28.1,70,1,2,2,3,1,50,0,142,126,4,127,2,5,53,2,82,266,242,69,72%,102,22,332,18%,0,0,0,2,32,31%,,,,,,,,,,,,,
6/25/91,Alex Palmer," £2,000.00 ", £2.00 ,186cm,83kg,0,3,4,3,0,13.25,4,0,2,0,0,0,1,0,3,2,2,1,0,1,0,,,,,,,,,,,,0,0,0,6,6%,,,,,,,,,,,,,
1/22/87,Alexis S√°nchez," £140,000.00 ", £140.00 ,178cm,70kg,75,279,0.2,95,0,15.08,213,18,18,12,10,20,234,13,97,161,138,108,16,32,50,,,,,,,,,,,,1,0,42,279,41%,,,,,,,,,,,,,
1/13/84,Alfie Mawson," £25,000.00 ", £25.00 ,180cm,79kg,87,256,0.02,97,1,40.05,254,11,41,0,0,4,393,5,435,487,2,481,8,61,184,0,843,913,900,207,69%,141,56,"1,395",31%,28,0,0,1,174,14%,,,,,,,,,,,,,
10/27/94,Ander Herrera," £115,000.00 ", £115.00 ,190cm,92kg,17,15,1,8,0,26.21,38,1,0,1,0,0,5,1,43,47,2,168,1,3,81,0,50,153,70,91,70%,40,8,100,20%,0,,,,,,0,12,28,0,0,,,,,,,,
2/12/90,Andr√© Ayew," £80,000.00 ", £80.00 ,183cm,77kg,22,72,0.09,32,2,22.14,77,10,8,1,5,1,188,4,59,109,9,35,10,27,15,0,72,305,422,31,77%,74,81,250,24%,52,0,0,5,101,28%,,,,,,,,,,,,,
1/30/81,Andrew Surman," £35,000.00 ", £35.00 ,201cm,75kg,152,360,0.24,137,1,19.35,407,54,29,34,6,30,56,20,105,126,139,385,29,85,179,,,,,,,,,,,,0,0,39,579,40%,,,,,,,,,,,,,
6/17/90,Andros Townsend," £55,000.00 ", £55.00 ,182cm,67kg,107,197,0.1,71,1,45.72,234,34,26,0,5,19,624,5,317,450,28,261,34,77,103,1,680,779,880,142,71%,177,100,"1,156",25%,103,1,2,14,282,29%,,,,,,,,,,,,,
10/11/92,Andy Carroll," £90,000.00 ", £90.00 ,180cm,66kg,25,101,0.08,38,0,14.35,85,5,10,0,1,6,270,2,59,125,20,19,11,31,5,0,37,587,665,27,82%,56,275,417,21%,7,0,0,9,91,34%,,,,,,,,,,,,,
12/23/96,Andy King," £40,000.00 ", £40.00 ,179cm,60kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
4/8/85,Angel Rangel," £32,000.00 ", £32.00 ,181cm,83kg,144,354,20,70,3,37.53,267,42,39,2,1,17,"1,278",5,345,640,55,232,34,76,78,1,335,"1,419","1,527",184,78%,333,361,"1,310",26%,53,,,,,,0,79,213,1,2,,,,,,,,
6/5/90,Angelo Ogbonna," £60,000.00 ", £60.00 ,188cm,78kg,26,69,6,41,0,29.2,95,2,13,5,1,0,188,3,199,152,5,469,5,18,260,0,201,521,342,289,74%,166,16,367,22%,3,,,,,,1,25,122,1,3,,,,,,,,
5/3/85,Angus Gunn," £4,000.00 ", £4.00 ,191cm,83kg,7,0,0,24,0,20.54,39,0,2,,,,,,,,,,,,,3,201,,,,,,,,,,,,,,,0,7,80,,,165,9,413,0,171,64,20,22
11/27/98,Anthony Martial," £110,000.00 ", £110.00 ,184cm,76kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
1/1/93,Antonio Valencia," £85,000.00 ", £85.00 ,181cm,79kg,25,52,1,8,0,40.75,40,2,9,0,0,1,41,1,70,110,1,121,2,2,66,1,47,209,227,46,74%,47,23,205,17%,2,,,,,,0,8,47,0,0,,,,,,,,
6/3/94,Arthur Masuaku," £40,000.00 ", £40.00 ,173cm,69kg,15,51,0.11,42,0,25.04,76,6,3,0,1,7,283,5,50,88,16,20,13,36,6,0,73,300,372,12,75%,48,129,247,23%,7,0,0,5,140,35%,,,,,,,,,,,,,
9/29/84,Artur Boruc," £40,000.00 ", £40.00 ,198cm,90kg,85,48,5,30,2,50.48,149,1,11,5,0,0,4,2,254,146,3,805,1,14,413,3,303,602,275,380,74%,166,16,722,25%,1,,,,,,0,57,150,14,1,,,,,,,,
9/14/97,Ashley Barnes," £25,000.00 ", £25.00 ,185cm,75kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0%,,,,,,,,,,,,,
6/18/88,Ashley Fletcher," £4,000.00 ", £4.00 ,186cm,75kg,1,3,0.67,0,0,22.33,3,0,0,2,0,0,1,1,0,1,1,0,0,1,0,,,,,,,,,,,,0,0,1,5,60%,,,,,,,,,,,,,
4/16/86,Ashley Williams," £70,000.00 ", £70.00 ,174cm,76kg,23,35,0.12,5,0,15.37,41,0,1,1,1,3,9,2,16,40,10,6,2,13,3,,,,,,,,,,,,0,0,8,53,28%,,,,,,,,,,,,,
2/12/94,Ashley Young," £120,000.00 ", £120.00 ,178cm,72kg,0,5,0,3,0,20.75,4,0,1,0,0,0,5,0,7,13,0,9,0,0,2,0,5,25,18,5,77%,4,4,19,20%,0,,,,,,0,0,6,0,0,,,,,,,,
11/26/90,Asmir Begovic," £60,000.00 ", £60.00 ,185cm,72kg,16,12,1,4,1,45.89,27,1,4,1,0,0,0,1,80,46,0,155,0,2,62,1,41,128,66,68,67%,36,3,165,0%,2,,,,,,0,11,20,4,0,,,,,,,,
12/6/92,Bakary Sako," £55,000.00 ", £55.00 ,171cm,71kg,62,65,0.21,25,1,43.42,114,24,7,0,4,20,266,9,67,199,23,41,39,133,8,0,204,606,719,24,80%,109,252,558,23%,124,0,1,13,373,30%,,,,,,,,,,,,,
7/4/86,Ben Chilwell," £20,000.00 ", £20.00 ,186cm,86kg,23,38,0,4,0,37.87,39,5,5,0,0,0,143,0,111,113,0,141,9,8,63,0,113,203,161,68,81%,41,10,258,27%,4,,,,,,0,18,31,0,1,,,,,,,,
9/7/85,Ben Foster," £60,000.00 ", £60.00 ,180cm,65kg,131,308,0.15,73,1,26.72,286,62,48,0,1,43,"2,271",15,296,395,95,201,40,141,45,0,425,"1,289","1,431",89,75%,119,254,"1,039",22%,102,5,5,22,499,33%,,,,,,,,,,,,,
3/5/96,Ben Hamer," £12,000.00 ", £12.00 ,180cm,75kg,10,4,0.11,3,0,30.5,18,5,1,0,0,2,11,1,4,13,2,1,4,7,1,0,11,45,54,3,77%,8,20,63,11%,5,0,0,0,23,35%,,,,,,,,,,,,,
2/4/87,Ben Mee," £28,000.00 ", £28.00 ,180cm,72kg,9,10,0.12,14,0,19.27,26,2,1,0,0,3,45,1,16,32,1,13,1,5,6,0,18,106,129,14,75%,31,32,69,16%,1,0,0,2,22,50%,,,,,,,,,,,,,
4/1/98,Benik Afobe," £27,000.00 ", £27.00 ,188cm,78kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
11/22/85,Boaz Myhill," £26,000.00 ", £26.00 ,185cm,80kg,8,18,0.23,20,0,16.35,31,1,0,1,1,5,9,1,3,11,30,25,1,5,13,,,,,,,,,,,,0,0,6,37,54%,,,,,,,,,,,,,
3/4/83,Bojan," £48,000.00 ", £48.00 ,193cm,79kg,63,9,0,90,0,23.05,220,0,7,,,,,,,,,,,,,13,"1,504",,,,,,,,,,,,,,,0,58,299,,,738,77,"2,060",6,907,354,113,193
8/17/82,Brad Smith," £25,000.00 ", £25.00 ,183cm,83kg,123,137,14,93,0,41.13,308,7,17,8,0,6,125,7,538,627,3,"2,621",7,35,888,6,"1,595","1,570",773,624,76%,394,33,"1,399",30%,11,,,,,,6,95,331,22,6,,,,,,,,
5/10/87,Brahim Diaz," £8,000.00 ", £8.00 ,179cm,68kg,46,96,0.22,33,2,19.32,118,15,12,2,4,20,438,7,45,95,57,23,19,88,8,0,104,346,537,17,76%,73,132,299,27%,10,0,3,15,257,36%,,,,,,,,,,,,,
10/12/85,Branislav Ivanovic," £143,000.00 ", £143.00 ,185cm,83kg,56,287,0.18,70,3,35.89,174,22,41,2,27,3,799,4,180,285,2,197,36,106,76,2,689,865,910,183,79%,132,144,890,22%,54,10,2,5,364,28%,,,,,,,,,,,,,
2/14/83,Bruno Martins Indi," £17,000.00 ", £17.00 ,176cm,72kg,142,158,4,47,1,51.56,254,19,28,3,0,1,989,0,423,502,1,"1,186",19,23,457,3,401,"1,444",886,594,73%,338,89,"1,133",19%,17,,,,,,0,90,247,6,1,,,,,,,,
1/14/82,C√©dric Soares," £65,000.00 ", £65.00 ,183cm,78kg,0,0,0,3,0,30.43,7,0,0,,,,,,,,,,,,,0,67,,,,,,,,,,,,,,,0,1,10,,,16,3,66,0,18,4,5,2
12/13/84,Calum Chambers," £45,000.00 ", £45.00 ,168cm,66kg,77,67,0.2,24,1,66.46,128,35,12,1,10,14,594,5,172,212,8,68,43,111,26,2,433,652,640,19,76%,60,265,859,24%,128,8,0,8,313,36%,,,,,,,,,,,,,
3/10/81,Cameron Carter-Vickers," £20,000.00 ", £20.00 ,195cm,95kg,3,12,0.57,2,0,32.86,7,0,2,1,0,3,4,0,3,8,8,4,3,10,3,,,,,,,,,,,,1,0,5,36,33%,,,,,,,,,,,,,
1/2/90,Carl Jenkinson," £45,000.00 ", £45.00 ,178cm,71kg,36,55,0.09,34,1,21.41,86,1,10,1,2,5,63,2,89,126,3,46,2,19,15,1,62,294,325,53,70%,63,50,249,30%,13,0,0,7,78,31%,,,,,,,,,,,,,
1/17/83,Charlie Adam," £35,000.00 ", £35.00 ,184cm,79kg,38,87,2,8,0,38.43,68,3,15,0,1,1,128,0,130,213,4,298,0,3,79,1,96,379,264,57,78%,39,26,317,23%,4,,,,,,0,30,52,1,1,,,,,,,,
4/14/89,Charlie Daniels," £25,000.00 ", £25.00 ,182cm,74kg,0,1,0,2,0,31.5,2,0,0,0,0,0,3,0,4,2,0,4,0,0,3,0,1,6,7,3,100%,4,0,11,67%,0,,,,,,0,0,4,0,0,,,,,,,,
10/11/85,Cheikhou Kouyat√©," £30,000.00 ", £30.00 ,187cm,83kg,90,111,10,30,1,36.99,143,19,21,0,9,1,680,7,186,227,16,337,24,68,172,1,250,639,492,178,75%,123,84,634,26%,8,,,,,,1,39,112,2,0,,,,,,,,
3/12/90,Chris Brunt," £45,000.00 ", £45.00 ,190cm,83kg,40,198,0.44,56,2,29.52,123,11,15,19,7,28,27,5,13,46,142,87,20,79,50,,,,,,,,,,,,7,1,41,327,38%,,,,,,,,,,,,,
7/8/88,Chris Smalling," £70,000.00 ", £70.00 ,184cm,84kg,36,167,1,41,0,37.23,108,5,24,0,1,0,260,0,219,322,2,375,8,6,190,2,179,676,509,194,76%,133,36,481,15%,1,,,,,,0,24,133,2,1,,,,,,,,
10/29/88,Christian Benteke," £120,000.00 ", £120.00 ,183cm,75kg,24,16,0.08,16,0,21.96,53,1,3,0,0,4,24,0,63,74,2,52,3,11,33,0,56,172,121,56,81%,46,18,180,17%,1,0,0,4,35,26%,,,,,,,,,,,,,
5/31/87,Christian Eriksen," £75,000.00 ", £75.00 ,196cm,85kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
3/10/86,Christian Fuchs," £50,000.00 ", £50.00 ,180cm,78kg,20,62,2,47,0,24.53,87,1,16,2,0,0,94,1,152,177,5,470,1,4,173,0,127,437,304,184,73%,129,24,225,23%,2,,,,,,0,17,138,3,6,,,,,,,,
7/1/91,Christian Kabasele," £30,000.00 ", £30.00 ,182cm,77kg,2,4,0.2,2,0,32.6,5,2,2,0,1,0,9,0,3,2,1,1,3,0,0,0,5,9,21,0,100%,3,3,29,44%,0,0,0,1,2,100%,,,,,,,,,,,,,
7/16/91,Claudio Bravo," £115,000.00 ", £115.00 ,181cm,77kg,36,32,0.12,29,0,21.28,82,5,8,0,8,2,332,2,57,137,2,21,10,57,3,1,27,412,417,2,82%,24,186,292,20%,5,1,1,3,162,35%,,,,,,,,,,,,,
3/13/94,Claudio Yacob," £60,000.00 ", £60.00 ,171cm,68kg,22,11,0.09,16,0,15.68,56,11,3,0,2,3,230,0,24,27,9,5,11,8,0,,,,,,,,,,,,0,0,4,45,64%,,,,,,,,,,,,,
12/12/90,Connor Randall," £2,000.00 ", £2.00 ,177cm,75kg,62,118,0.09,56,0,17.59,162,13,10,3,3,9,381,6,97,135,42,33,19,65,16,0,88,669,780,60,74%,113,274,499,22%,15,1,0,19,246,27%,,,,,,,,,,,,,
1/31/92,Connor Wickham," £60,000.00 ", £60.00 ,185cm,79kg,1,1,0.25,2,0,23,4,0,0,1,0,0,1,0,5,4,1,4,0,1,2,0,9,17,20,4,25%,7,2,18,1%,0,0,0,0,4,25%,,,,,,,,,,,,,
7/1/96,Costel Pantilimon," £25,000.00 ", £25.00 ,186cm,86kg,2,2,0.2,2,0,6.2,5,0,1,1,0,0,2,0,1,3,0,1,0,1,1,,,,,,,,,,,,0,0,1,7,57%,,,,,,,,,,,,,
9/20/95,Craig Cathcart," £13,000.00 ", £13.00 ,185cm,90kg,1,2,0,1,0,51.67,3,0,1,0,0,0,0,0,4,4,0,17,0,0,9,0,9,22,13,15,100%,8,2,16,0%,0,,,,,,0,1,5,0,0,,,,,,,,
2/21/92,Daley Blind," £75,000.00 ", £75.00 ,185cm,72kg,72,125,2,33,0,36.76,139,5,22,1,0,1,132,2,312,314,3,735,9,17,360,0,346,755,480,245,73%,169,59,536,21%,13,,,,,,1,37,125,9,1,,,,,,,,
9/8/89,Damien Delaney," £25,000.00 ", £25.00 ,186cm,82kg,5,23,0.17,5,0,9.5,12,0,2,0,0,2,2,0,2,9,5,2,1,3,1,,,,,,,,,,,,0,0,0,16,38%,,,,,,,,,,,,,
12/26/90,Dan Gosling," £20,000.00 ", £20.00 ,178cm,76kg,106,200,0.15,38,0,54.8,188,28,23,1,3,24,221,7,219,384,13,104,31,94,41,1,480,836,"1,016",95,76%,124,177,979,17%,149,0,0,26,330,32%,,,,,,,,,,,,,
3/29/87,Daniel Amartey," £21,000.00 ", £21.00 ,175cm,77kg,15,13,0.29,10,0,42.54,35,15,4,0,0,10,330,3,24,27,3,4,18,28,2,1,85,164,172,2,67%,12,84,176,33%,23,0,2,1,88,35%,,,,,,,,,,,,,
7/20/81,Daniel Drinkwater," £90,000.00 ", £90.00 ,191cm,89kg,37,71,3,53,1,25.42,113,4,20,1,1,1,15,1,207,153,2,826,7,5,474,3,342,497,316,298,74%,173,8,377,40%,0,,,,,,3,22,135,6,0,,,,,,,,
8/31/91,Daniel Sturridge," £130,000.00 ", £130.00 ,172cm,67kg,12,20,0,9,0,34.77,31,2,3,0,0,0,146,0,63,87,3,85,5,2,29,0,79,147,115,25,79%,43,20,170,27%,0,,,,,,0,6,25,0,2,,,,,,,,
8/23/84,Danny Ings," £75,000.00 ", £75.00 ,183cm,77kg,62,173,4,73,0,55.61,187,3,32,3,0,1,5,0,479,274,13,"1,713",4,20,744,6,"1,108",772,571,419,74%,324,22,847,40%,9,,,,,,0,54,246,6,7,,,,,,,,
1/4/94,Danny Rose," £60,000.00 ", £60.00 ,178cm,68kg,5,3,7,2,0,16.14,7,0,1,0,0,0,1,0,11,10,0,7,0,1,6,0,2,17,12,6,60%,5,1,12,1%,0,0,0,0,1,1%,,,,,,,,,,,,,
4/20/76,Danny Simpson," £45,000.00 ", £45.00 ,183cm,84kg,168,0,0,156,0,7.83,451,0,19,,,,,,,,,,,,,6,"1,062",,,,,,,,,,,,,,,2,32,239,,,475,79,"1,516",5,502,165,42,144
2/26/85,Danny Welbeck," £125,000.00 ", £125.00 ,195cm,90kg,1,16,0.17,4,0,28.17,6,0,0,0,1,0,4,0,0,3,2,11,0,3,8,,,,,,,,,,,,0,0,1,14,43%,,,,,,,,,,,,,
8/7/91,Darren Randolph," £6,000.00 ", £6.00 ,193cm,92kg,19,35,3,12,0,42.71,41,0,5,1,2,0,2,5,116,65,2,319,4,6,183,0,160,289,123,190,75%,70,18,192,50%,1,,,,,,0,13,42,1,1,,,,,,,,
2/7/88,Daryl Janmaat," £45,000.00 ", £45.00 ,180cm,75kg,28,44,0.09,41,0,18.16,90,10,5,1,4,3,254,0,122,134,9,45,12,10,12,1,42,370,377,65,78%,84,69,334,33%,28,0,0,2,56,38%,,,,,,,,,,,,,
1/20/95,David de Gea," £200,000.00 ", £200.00 ,183cm,66kg,26,53,2,18,1,35.45,60,1,9,1,0,1,134,0,99,112,1,187,3,3,114,0,73,300,245,113,83%,78,43,252,21%,2,,,,,,1,12,59,1,1,,,,,,,,
2/10/95,David Luiz," £125,000.00 ", £125.00 ,185cm,78kg,1,2,5,4,0,5,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,4,25%,,,,,,,,,,,,,
10/30/89,David Silva," £160,000.00 ", £160.00 ,186cm,77kg,7,74,0.14,17,1,21.37,35,2,4,2,0,3,28,4,19,23,10,36,0,14,25,,,,,,,,,,,,0,0,3,66,32%,,,,,,,,,,,,,
4/18/85,Dean Marney," £22,000.00 ", £22.00 ,190cm,83kg,50,3,0,39,1,24.42,113,2,2,,,,,,,,,,,,,10,749,,,,,,,,,,,,,,,0,35,143,,,357,100,904,1,711,224,87,52
9/28/81,Dejan Lovren," £65,000.00 ", £65.00 ,186cm,80kg,7,0,0,2,0,23.33,9,0,0,,,,,,,,,,,,,1,52,,,,,,,,,,,,,,,0,1,12,,,26,4,44,0,27,7,5,1
8/28/89,Dele Alli," £55,000.00 ", £55.00 ,178cm,75kg,71,115,2,24,1,45.93,129,10,14,0,0,2,226,1,251,377,3,408,7,10,196,0,282,644,447,162,78%,143,32,631,24%,3,,,,,,2,44,122,2,3,,,,,,,,
12/13/94,Demarai Gray," £25,000.00 ", £25.00 ,189cm,77kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
11/20/88,Diafra Sakho," £30,000.00 ", £30.00 ,181cm,76kg,33,63,0.17,23,0,27.97,72,19,4,0,10,2,467,4,49,80,25,28,25,40,4,0,45,228,337,17,71%,51,70,240,24%,20,2,0,8,125,35%,,,,,,,,,,,,,
2/14/90,Diego Costa," £185,000.00 ", £185.00 ,180cm,75kg,2,4,0.14,4,0,21,7,0,0,0,0,1,0,0,3,12,2,6,0,1,4,,,,,,,,,,,,0,0,1,6,17%,,,,,,,,,,,,,
5/4/91,Divock Origi," £28,000.00 ", £28.00 ,175cm,67kg,54,80,4,47,0,42.21,134,8,15,0,1,3,355,1,225,366,1,339,11,22,78,3,194,598,438,46,70%,102,105,614,19%,12,,,,,,1,39,158,5,0,,,,,,,,
11/28/80,Dominic Solanke," £7,000.00 ", £7.00 ,198cm,85kg,12,0,0,11,0,5.82,34,0,1,,,,,,,,,,,,,1,78,,,,,,,,,,,,,,,0,0,25,,,42,8,139,1,24,10,2,10
5/21/89,Dusan Tadic," £60,000.00 ", £60.00 ,183cm,83kg,4,28,0.25,16,0,12.04,28,1,0,2,5,0,70,1,21,11,2,15,1,8,6,,,,,,,,,,,,1,0,2,37,38%,,,,,,,,,,,,,
4/8/93,Eden Hazard," £200,000.00 ", £200.00 ,178cm,77kg,27,78,0.22,46,0,17.05,105,2,3,2,6,15,90,5,24,67,43,17,7,45,7,,,,,,,,,,,,5,0,17,184,36%,,,,,,,,,,,,,
8/10/91,Edimilson Fernandes," £30,000.00 ", £30.00 ,185cm,71kg,2,6,8,3,0,47.62,8,0,1,0,0,0,5,0,13,15,0,3,1,1,2,0,35,29,28,5,67%,5,5,40,20%,1,0,0,0,3,3%,,,,,,,,,,,,,
9/7/90,Eduardo," £10,000.00 ", £10.00 ,172cm,65kg,24,60,1,20,0,22.36,56,0,8,0,0,1,99,0,75,139,4,127,2,5,53,1,33,245,205,41,76%,42,32,170,16%,5,,,,,,0,6,49,0,2,,,,,,,,
6/17/94,Emiliano Martinez," £10,000.00 ", £10.00 ,179cm,75kg,0,6,4,3,0,32.25,4,0,1,0,0,0,6,0,10,5,0,2,0,1,2,0,12,13,20,2,80%,6,4,27,17%,1,0,0,0,1,1%,,,,,,,,,,,,,
10/24/90,Emre Can," £45,000.00 ", £45.00 ,180cm,80kg,2,0,0.33,1,0,34.67,3,0,0,0,0,1,0,0,3,1,0,0,0,3,0,0,2,7,7,0,100%,0,4,9,0%,0,0,0,0,5,20%,,,,,,,,,,,,,
9/19/90,Enner Valencia," £40,000.00 ", £40.00 ,178cm,71kg,12,20,1,20,0,44.23,44,5,3,0,0,1,375,0,93,87,2,163,10,5,99,0,227,250,183,84,79%,60,29,286,26%,2,,,,,,0,11,57,0,1,,,,,,,,
6/3/88,Eric Bailly," £80,000.00 ", £80.00 ,193cm,87kg,86,2,0,63,0,21.63,203,0,4,,,,,,,,,,,,,15,"1,145",,,,,,,,,,,,,,,1,64,265,,,591,173,"1,750",6,676,214,132,106
3/12/98,Eric Dier," £60,000.00 ", £60.00 ,167cm,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
4/10/87,Erik Lamela," £80,000.00 ", £80.00 ,191cm,76kg,82,271,12,105,5,23.84,262,7,53,7,0,5,42,5,343,399,34,"2,350",3,20,978,3,698,"1,230",786,640,70%,357,35,646,21%,0,,,,,,3,70,333,17,7,,,,,,,,
1/16/85,Erik Pieters," £38,000.00 ", £38.00 ,174cm,74kg,126,283,8,48,4,41.86,215,18,52,1,1,6,496,5,464,768,15,701,27,45,306,0,320,"1,334",985,300,75%,252,59,908,17%,21,,,,,,1,70,195,3,3,,,,,,,,
4/27/97,Etienne Capoue," £35,000.00 ", £35.00 ,180cm,64kg,5,1,10,2,0,5.2,10,0,0,0,0,0,5,0,1,6,1,2,0,0,0,0,0,9,8,1,100%,1,2,3,5%,0,0,0,0,3,67%,,,,,,,,,,,,,
10/5/88,Fabian Delph," £80,000.00 ", £80.00 ,172cm,73kg,52,113,0.18,42,0,34.06,132,23,12,0,12,10,427,5,137,242,45,101,20,71,37,0,110,687,833,83,81%,179,173,635,20%,42,0,0,20,219,35%,,,,,,,,,,,,,
12/10/86,Federico Fern√°ndez," £43,000.00 ", £43.00 ,186cm,77kg,1,6,0.6,2,0,26.6,5,0,1,1,1,1,10,0,4,14,2,8,1,0,3,,,,,,,,,,,,0,0,0,4,100%,,,,,,,,,,,,,
